title,url,text,rank,shelfList,s_id,image_url,price,instock,shelfname,sku,mainShelfId,categorias,brand,produto,quantity,unit,date_scraped,kg,price_per_kg
Coxão Mole Bovino Peça Resfriado Bandeja 1kg,https://www.paodeacucar.com/produto/64376,,1,[],0,http://www.paodeacucar.com/img/uploads/1/450/666450x200x200.jpg,49.9,1,bovina,0034838,10070,['Bovina'],,coxao mole,1.0,kg,2021-05-30,1.0,49.9
Coxão Mole (Chã de Dentro) em Bife Bandeja 500g,https://www.paodeacucar.com/produto/168491,BIFE <b>COXAO</b> <b>MOLE</b> BOVINO 500G,2,[],0,http://www.paodeacucar.com/img/uploads/1/984/471984x200x200.jpg,25.17,1,bovina,0077224,10070,['Bovina'],,coxao mole,500.0,g,2021-05-30,0.5,50.34
Coxão Mole para Strogonoff Resfriado Bandeja 400g,https://www.paodeacucar.com/produto/28742,STROGONOFCOXAOMOLE BOVRESF400G,3,[],0,http://www.paodeacucar.com/img/uploads/1/579/511579x200x200.jpg,27.2,1,bovina,0082587,10070,['Bovina'],,coxao mole,400.0,g,2021-05-30,0.4,68.0
Coxão Mole Capa Bovino Resfriado Bandeja 500g,https://www.paodeacucar.com/produto/78629,CAPA <b>COXAO</b> <b>MOLE</b> BOV RESF 500g,4,[],0,http://www.paodeacucar.com/img/uploads/1/928/471928x200x200.jpg,24.5,1,bovina,0021890,10070,['Bovina'],BASSI,coxao mole,500.0,g,2021-05-30,0.5,49.0
Tiras de Strogonoff de Coxão Mole Bovino Resfriado 400g,https://www.paodeacucar.com/produto/185333,STEAK DE,5,[],0,http://www.paodeacucar.com/img/uploads/1/471/665471x200x200.jpg,24.39,0,bovina,0611626,10070,['Bovina'],,coxao mole,400.0,g,2021-05-30,0.4,60.975
Coxão Mole Resfriada Novilho CONFRARIA GOURMET Bandeja 500g,https://www.paodeacucar.com/produto/113329,CG <b>COXAO</b> <b>MOLE</b> NOVILHO BIFE 500G,6,[],0,http://www.paodeacucar.com/img/uploads/1/618/645618x200x200.jpg,39.99,0,bovina,0465786,10070,['Bovina'],CONFRARIA GOURMET,coxao mole,500.0,g,2021-05-30,0.5,79.98
Tiras de Coxão Mole Congelado SWIFT 500G,https://www.paodeacucar.com/produto/419262,TIRAS DE <b>COXAO</b> <b>MOLE</b> SWIFT 500G,7,[],0,http://www.paodeacucar.com/img/uploads/1/509/11879509x200x200.png,21.39,0,bovina,1160957,10070,"['Bovina', 'Swift']",,coxao mole,500.0,g,2021-05-30,0.5,42.78
Coxão Mole para Strogonoff Rubia Gallega Qualitá 400g,https://www.paodeacucar.com/produto/181580,BUCHO RUBIA BOV NC KG,8,[],0,http://www.paodeacucar.com/img/uploads/1/395/647395x200x200.jpg,26.26,0,bovina,0115636,10070,['Bovina'],,coxao mole,400.0,g,2021-05-30,0.4,65.65
Cubos De Coxão Mole SWIFT 500g,https://www.paodeacucar.com/produto/419193,CUBOS DE <b>COXAO</b> <b>MOLE</b> SWIFT 500G,9,[],0,http://www.paodeacucar.com/img/uploads/1/160/605160x200x200.png,25.93,0,bovina,7561535,10070,"['Bovina', 'Swift']",,coxao mole,500.0,g,2021-05-30,0.5,51.86
Bife de Patinho Bovino Resfriado Bandeja 500g,https://www.paodeacucar.com/produto/168038,<b>PATINHO</b> BOV RESF BIFE 500G,1,[],0,http://www.paodeacucar.com/img/uploads/1/27/509027x200x200.jpg,22.78,1,bovina,0077392,10070,['Bovina'],,patinho,500.0,g,2021-05-30,0.5,45.56
Carne Bovina Moída De Patinho Resfriada QUALITÁ Bandeja 500g,https://www.paodeacucar.com/produto/430796,MOIDA DE <b>PATINHO</b> BM RESF 500GR,2,[],0,http://www.paodeacucar.com/img/uploads/1/768/679768x200x200.png,31.49,1,bovina,7600173,10070,['Bovina'],,patinho,500.0,g,2021-05-30,0.5,62.98
Tiras De Patinho SWIFT 500g,https://www.paodeacucar.com/produto/419281,TIRAS DE <b>PATINHO</b> SWIFT 500G,3,[],0,http://www.paodeacucar.com/img/uploads/1/236/12133236x200x200.PNG,21.96,1,bovina,1160953,10070,"['Bovina', 'Swift']",,patinho,500.0,g,2021-05-30,0.5,43.92
Patinho Bovino Resfriado 1kg,https://www.paodeacucar.com/produto/134682,<b>PATINHO</b> PECA BOV RESF KG,4,[],0,http://www.paodeacucar.com/img/uploads/1/902/630902x200x200.jpg,51.83,1,bovina,0040129,10070,['Bovina'],,patinho,1.0,kg,2021-05-30,1.0,51.83
Carne Moída de Patinho Congelado SWIFT 500G,https://www.paodeacucar.com/produto/419269,CARNE MOIDA DE <b>PATINHO</b> SWIFT 500G,5,[],0,http://www.paodeacucar.com/img/uploads/1/740/590740x200x200.png,23.39,1,bovina,1160931,10070,"['Bovina', 'Swift']",,patinho,500.0,g,2021-05-30,0.5,46.78
Carne Moída De Patinho SWIFT Congelada 900g,https://www.paodeacucar.com/produto/452729,CARNE MOIDA DE <b>PATINHO</b> SWIFT 900G,6,[],0,http://www.paodeacucar.com/img/uploads/1/983/11908983x200x200.jpg,41.49,1,bovina,1192071,10070,['Bovina'],,patinho,900.0,g,2021-05-30,0.9,46.1
Bife de Patinho Milanesa Congelado SWIFT 900G,https://www.paodeacucar.com/produto/419290,BIFE DE <b>PATINHO</b> MILANESA SWIFT 900G,7,[],0,http://www.paodeacucar.com/img/uploads/1/737/590737x200x200.png,41.49,1,bovina,1160935,10070,"['Bovina', 'Swift']",,patinho,900.0,g,2021-05-30,0.9,46.1
Carne Moída Light de Patinho 240g,https://www.paodeacucar.com/produto/594119,"Feita com <b>patinho,</b> a carne moída light da Natural Meat é tudo que você precisa para sua família. Para quem não sabe, o <b>patinho</b> é um dos cortes bovinos que tem menos gordura e mais tem sabor, por isso agrada tanto. Uma das principais escolhas para as refeições cotidianas, a carne moída rende receitas&hellip;",8,[],0,http://www.paodeacucar.com/img/uploads/1/642/12239642x200x200.jpeg,15.29,1,bovina,100111981,10070,['Bovina'],,patinho,240.0,g,2021-05-30,0.24,63.70833333333333
